keyword_id,keyword_name
380,sibling relationship
3521,earthquake
3725,pregnancy
9663,sequel
10292,gore
12670,"los angeles, california"
15001,demon
156075,evil
157466,necronomicon
161184,reboot
161261,demonic possession
176227,motherhood
210281,sisterhood
241738,sister sister relationship
283085,body horror
286239,apartment
296359,graphic violence
1701,hero
3126,ant
9715,superhero
9717,based on comic
18035,family
155030,superhero team
179430,aftercreditsstinger
179431,duringcreditsstinger
180547,marvel cinematic universe (mcu)
282,video game
1878,plumber
9696,magic mushroom
41645,based on video game
188294,damsel in distress
243959,brother brother relationship
514,spain
588,"rome, italy"
716,vatican
717,pope
4931,pig
9712,possession
10410,conspiracy
14999,devil
159940,exorcist
161198,skepticism
172391,catholic priest
208289,1980s
256183,supernatural horror
10125,mad scientist
161176,space opera
162881,raccoon
231295,cosmic
252634,outer space
267488,chosen family
4289,secret agent
10150,end of the world
33637,super power
229266,dc extended universe (dceu)
296608,teenager
697,loss of loved one
3737,dying and death
4862,alien life-form
6506,resurrection
10041,dysfunctional family
10158,alien planet
11239,distant future
185927,adopted child
194421,rebirth
205734,family dynamics
209051,adopted son
219826,stronger villain
273967,war
276,"philadelphia, pennsylvania"
1157,husband wife relationship
1643,deaf
6075,sports
13014,orphan
41368,former best friend
156121,ex-con
160246,childhood friends
174258,juvenile detention center
209476,boxing
228041,prodigy
242,new york city
2546,mask
2754,trauma
3335,halloween
3616,college
3864,fake identity
9748,revenge
9780,public murder
9826,murder
10714,serial killer
11208,conspiracy theory
11479,social commentary
11734,police corruption
12339,slasher
12570,whodunit
14688,multiple stabbings
14707,brutality
17987,killing spree
160612,self-referential
177695,crime spree
218048,movie fan
220455,copycat killer
234025,masked villain
238142,stabbed to death
272551,fbi agent
305143,post credit scene
305666,masked killer
779,martial arts
2708,hitman
10291,organized crime
10642,"osaka, japan"
181644,hunted
206041,professional assassin
207268,neo-noir
312965,berlin
10039,racing
470,spy
782,assassin
2051,intelligence
5265,spying
254325,korea president
261681,south korea
267761,inter-korean relations
295022,nis
1721,fight
4152,kingdom
4933,battle for power
5515,heir to the throne
9994,crown
13084,king
14643,battle
180059,death of king
208951,invaders
253463,heirs
2041,island
2343,magic
2710,fairy
3205,fairy tale
